row_index,career,split
271,AR/VR Developer,train
272,Swift Developer,train
273,Go Developer,test
274,Rust Developer,train
275,Frontend Developer,train
276,Scrum Master,train
277,Go Developer,train
278,Business Analyst,test
279,Network Engineer,train
280,Network Security Engineer,test
281,Product Manager,train
282,DevOps Engineer,test
283,Robotics Engineer,train
284,Software Architect,train
285,Python Developer,train
286,Software Architect,train
287,Technical Writer,train
288,Cloud Security Engineer,train
289,MLOps Engineer,test
290,iOS/Android Cross Platform Developer,test
291,Full Stack Machine Learning Engineer,train
292,.NET Developer,train
293,Fintech Developer,train
294,Game Developer,train
295,Android Developer,train
296,Digital Marketing Tech,train
297,ERP Developer,train
298,Embedded Systems Engineer,train
299,SOC Analyst,train
300,Flutter Developer,test
301,Computer Hardware Engineer,train
302,Operations Research Analyst,test
303,MLOps Engineer,train
304,Database Administrator,train
305,Kubernetes Engineer,train
306,Application Security Engineer,train
307,IT Auditor,train
308,Low Code Developer,train
309,Automation Engineer,train
310,Platform Engineer,test
311,Operations Research Analyst,train
312,AI Engineer,train
313,IoT Developer,train
314,Electronics Engineer,train
315,Product Designer,train
316,Signal Processing Engineer,train
317,Computer Vision Engineer,test
318,Prompt Engineer,train
319,Robotics Engineer,train
320,Full Stack Machine Learning Engineer,train
321,Automation Engineer,train
322,QA Engineer,train
323,GraphQL Developer,test
324,Kubernetes Engineer,train
325,Swift Developer,test
326,Cybersecurity Analyst,train
327,Python Developer,train
328,IT Support Specialist,train
329,IT Support Specialist,train
330,PHP Developer,train
331,PHP Developer,train
332,Low Code Developer,train
333,Operations Research Analyst,train
334,Ruby Developer,test
335,Platform Engineer,train
336,Network Security Engineer,train
337,Business Analyst,train
338,Enterprise Architect,train
339,Computer Vision Engineer,train
340,Network Security Engineer,train
341,Technical Project Manager,train
342,iOS/Android Cross Platform Developer,train
343,Data Scientist,train
344,AR/VR Developer,train
345,Android Developer,train
346,DevSecOps Engineer,train
347,Go Developer,train
348,Scrum Master,test
349,IT Manager,test
350,Electrical Engineer,train
351,Full Stack Machine Learning Engineer,train
352,Electrical Engineer,test
353,Flutter Developer,train
354,Swift Developer,train
355,Scrum Master,train
356,Big Data Engineer,train
357,Fintech Developer,train
358,Blockchain Developer,train
359,Low Code Developer,train
360,Rust Developer,train
361,Operations Research Analyst,train
362,Data Scientist,train
363,Platform Engineer,train
364,Data Engineer,train
365,UI/UX Designer,train
366,Salesforce Developer,train
367,Java Developer,train
368,Automation Engineer,test
369,IoT Engineer,train
370,Technical Writer,train
371,IT Manager,test
372,UI/UX Designer,train
373,IT Manager,test
374,Software Architect,train
375,Flutter Developer,train
376,PHP Developer,train
377,UI/UX Designer,train
378,IT Manager,train
379,Electrical Engineer,train
380,Cloud Data Engineer,train
381,iOS/Android Cross Platform Developer,train
382,ERP Developer,test
383,ERP Developer,train
384,R Developer,train
385,GraphQL Developer,train
386,UI/UX Designer,train
387,AWS Solutions Architect,train
388,Site Reliability Engineer (SRE),test
389,WordPress Developer,train
390,IT Support Specialist,train
391,ERP Developer,train
392,iOS Developer,test
393,VLSI Engineer,train
394,Data Analyst,train
395,R Developer,train
396,Salesforce Developer,train
397,COBOL Developer,train
398,Kubernetes Engineer,test
399,iOS Developer,train
400,Technical Writer,train
401,GraphQL Developer,test
402,Network Security Engineer,train
403,Firmware Engineer,train
404,Cybersecurity Analyst,train
405,Network Security Engineer,test
406,NLP Engineer,train
407,IoT Developer,test
408,Quantitative Analyst,test
409,Scala Developer,train
410,Cloud Engineer,train
411,Enterprise Architect,train
412,SOC Analyst,train
413,Site Reliability Engineer,train
414,Rust Developer,train
415,Android Developer,train
416,Helpdesk Technician,train
417,Site Reliability Engineer (SRE),train
418,Systems Administrator,train
419,AI Safety Engineer,test
420,Electrical Engineer,train
421,Electronics Engineer,train
422,R Developer,train
423,Product Designer,test
424,VLSI Engineer,train
425,Cloud Data Engineer,train
426,Fullstack Developer,test
427,Cybersecurity Analyst,test
428,Cloud Data Engineer,train
429,Site Reliability Engineer (SRE),train
430,Platform Engineer,train
431,DevSecOps Engineer,test
432,ERP Developer,train
433,VLSI Engineer,train
434,Rust Developer,test
435,Automation Engineer,train
436,Cloud Data Engineer,test
437,Solutions Engineer,train
438,NLP Engineer,test
439,Full Stack Machine Learning Engineer,train
440,Cloud Security Engineer,train
441,Data Analyst,test
442,IoT Engineer,train
443,Flutter Developer,test
444,Computer Vision Engineer,train
445,R Developer,train
446,Electronics Engineer,train
447,Site Reliability Engineer (SRE),test
448,DevOps Engineer,test
449,CTO,test
450,Python Developer,train
451,Data Analyst,test
452,Application Security Engineer,train
453,Automation Engineer,train
454,IT Auditor,train
455,Software Architect,test
456,Android Developer,train
457,Scala Developer,train
458,VLSI Engineer,train
459,.NET Developer,train
460,Scrum Master,train
461,React Native Developer,train
462,Solutions Engineer,train
463,Swift Developer,test
464,Penetration Tester,train
465,Enterprise Architect,train
466,SEO Specialist,train
467,Network Engineer,train
468,PHP Developer,train
469,Product Manager,train
470,QA Engineer,train
471,Low Code Developer,test
472,Helpdesk Technician,train
473,Platform Engineer,test
474,AI Safety Engineer,train
475,GraphQL Developer,train
476,IT Support Specialist,train
477,Quantitative Analyst,test
478,DevSecOps Engineer,train
479,Robotics Engineer,train
480,AI Safety Engineer,train
481,Fintech Developer,train
482,PHP Developer,train
483,Flutter Developer,train
484,Electrical Engineer,train
485,Digital Marketing Tech,train
486,Product Designer,train
487,CTO,test
488,R Developer,train
489,Product Designer,train
490,Java Developer,test
491,Salesforce Developer,train
492,Data Engineer,train
493,React Native Developer,train
494,MLOps Engineer,train
495,Embedded Systems Engineer,train
496,Network Engineer,train
497,.NET Developer,train
498,Prompt Engineer,test
499,Computer and Information Research Scientist,train
500,Graphic Designer,train
501,iOS/Android Cross Platform Developer,test
502,Data Analyst,test
503,Security Engineer,train
504,Cloud Data Engineer,train
505,Automation Engineer,train
506,Kubernetes Engineer,train
507,Prompt Engineer,train
508,Kubernetes Engineer,train
509,Kubernetes Engineer,train
510,Fullstack Developer,train
511,Business Analyst,train
512,Full Stack Machine Learning Engineer,train
513,Cloud Engineer,test
514,Kubernetes Engineer,train
515,IT Auditor,train
516,Application Security Engineer,train
517,React Developer,train
518,Computer Hardware Engineer,train
519,Systems Administrator,train
520,IT Support Specialist,train
521,Site Reliability Engineer,train
522,Network Engineer,train
523,Go Developer,train
524,Data Scientist,train
525,Computer Vision Engineer,train
526,Application Security Engineer,train
527,iOS Developer,train
528,Embedded Systems Engineer,train
529,Helpdesk Technician,train
530,Cybersecurity Analyst,train
531,Technical Writer,train
532,Electrical Engineer,train
533,React Developer,train
534,Graphic Designer,train
535,Robotics Engineer,train
536,Low Code Developer,train
537,React Native Developer,train
538,Enterprise Architect,train
539,Scala Developer,train
540,Network Security Engineer,test
541,PHP Developer,train
542,Technical Writer,train
543,Swift Developer,train
544,Python Developer,train
545,Machine Learning Engineer,train
546,Machine Learning Engineer,test
547,Application Security Engineer,train
548,IT Manager,train
549,Python Developer,train
550,IT Auditor,train
551,Swift Developer,train
552,Low Code Developer,train
553,Java Developer,train
554,React Native Developer,train
555,AI Engineer,train
556,Site Reliability Engineer,train
557,Flutter Developer,train
558,Computer Hardware Engineer,train
559,Computer Hardware Engineer,train
560,Prompt Engineer,test
561,VLSI Engineer,train
562,Business Intelligence Developer,train
563,AI Safety Engineer,train
564,Enterprise Architect,train
565,COBOL Developer,train
566,Electronics Engineer,test
567,Data Engineer,train
568,Blockchain Developer,train
569,IT Support Specialist,train
570,Electronics Engineer,train
571,Software Architect,train
572,AWS Solutions Architect,train
573,NLP Engineer,train
574,R Developer,train
575,SEO Specialist,test
576,ERP Developer,test
577,Network Security Engineer,test
578,Cloud Engineer,train
579,Kubernetes Engineer,train
580,Software Architect,train
581,IT Auditor,train
582,Signal Processing Engineer,train
583,IoT Developer,train
584,Rust Developer,test
585,Cloud Security Engineer,train
586,Computer Vision Engineer,test
587,Helpdesk Technician,train
588,Quantitative Analyst,train
589,Network Security Engineer,test
590,GraphQL Developer,train
591,.NET Developer,train
592,Helpdesk Technician,train
593,Machine Learning Engineer,train
594,SOC Analyst,test
595,DevSecOps Engineer,train
596,GraphQL Developer,test
597,CTO,train
598,Software Architect,test
599,Firmware Engineer,train
600,Network Security Engineer,test
601,AI Engineer,test
602,IT Auditor,train
603,Firmware Engineer,test
604,Business Intelligence Developer,train
605,Signal Processing Engineer,train
606,CTO,train
607,COBOL Developer,train
608,Firmware Engineer,train
609,Enterprise Architect,train
610,Frontend Developer,train
611,Helpdesk Technician,train
612,Flutter Developer,train
613,Python Developer,train
614,Rust Developer,train
615,Data Scientist,train
616,QA Engineer,test
617,Cloud Data Engineer,train
618,Android Developer,train
619,GraphQL Developer,train
620,AWS Solutions Architect,train
621,Site Reliability Engineer,train
622,Android Developer,test
623,DevSecOps Engineer,train
624,iOS Developer,test
625,Database Administrator,train
626,AI Safety Engineer,train
627,Data Engineer,train
628,Penetration Tester,train
629,Product Manager,train
630,Network Security Engineer,train
631,Quantitative Analyst,train
632,Site Reliability Engineer (SRE),train
633,Data Governance Analyst,train
634,Data Governance Analyst,train
635,Security Engineer,train
636,Flutter Developer,train
637,Fintech Developer,train
638,Scala Developer,test
639,Computer and Information Research Scientist,train
640,Cloud Security Engineer,train
641,IT Manager,train
642,COBOL Developer,train
643,IoT Developer,train
644,iOS Developer,train
645,Site Reliability Engineer (SRE),train
646,IT Support Specialist,train
647,Big Data Engineer,train
648,Graphic Designer,train
649,Frontend Developer,train
650,Graphic Designer,train
651,Salesforce Developer,train
652,React Native Developer,train
653,AR/VR Developer,train
654,Platform Engineer,train
655,Cloud Security Engineer,train
656,Business Intelligence Developer,train
657,Graphic Designer,train
658,Full Stack Machine Learning Engineer,train
659,COBOL Developer,train
660,AI Engineer,train
661,Flutter Developer,train
662,iOS/Android Cross Platform Developer,train
663,Operations Research Analyst,train
664,Computer Vision Engineer,train
665,React Developer,test
666,Digital Marketing Tech,test
667,Data Engineer,train
668,CTO,train
669,Penetration Tester,train
670,React Developer,train
671,Business Intelligence Developer,train
672,Fintech Developer,train
673,Fullstack Developer,test
674,IT Manager,train
675,AR/VR Developer,train
676,Go Developer,train
677,Signal Processing Engineer,train
678,Electrical Engineer,train
679,IoT Developer,train
680,Systems Administrator,train
681,NLP Engineer,train
682,WordPress Developer,train
683,IoT Engineer,train
684,Data Governance Analyst,train
685,Product Manager,train
686,Software Architect,train
687,Python Developer,train
688,Data Governance Analyst,train
689,React Developer,test
690,Signal Processing Engineer,train
691,Business Analyst,test
692,Robotics Engineer,train
693,Scrum Master,train
694,Automation Engineer,train
695,AWS Solutions Architect,train
696,SEO Specialist,train
697,Game Developer,train
698,Helpdesk Technician,train
699,DevSecOps Engineer,test
700,React Native Developer,test
701,Salesforce Developer,train
702,Data Scientist,train
703,R Developer,train
704,Backend Developer,test
705,Product Manager,test
706,Frontend Developer,train
707,Systems Administrator,train
708,Embedded Systems Engineer,train
709,Blockchain Developer,train
710,GraphQL Developer,train
711,Penetration Tester,train
712,Kubernetes Engineer,train
713,Operations Research Analyst,train
714,Digital Marketing Tech,train
715,.NET Developer,train
716,Automation Engineer,train
717,CTO,train
718,Network Security Engineer,train
719,Technical Project Manager,train
720,Product Manager,train
721,UI/UX Designer,train
722,Graphic Designer,test
723,React Native Developer,train
724,Big Data Engineer,train
725,iOS Developer,train
726,Computer and Information Research Scientist,test
727,Cloud Engineer,train
728,Cloud Data Engineer,train
729,.NET Developer,train
730,Python Developer,train
731,Electronics Engineer,train
732,Android Developer,train
733,Data Analyst,train
734,Software Architect,test
735,Data Analyst,test
736,Cloud Data Engineer,test
737,Computer Hardware Engineer,train
738,iOS/Android Cross Platform Developer,test
739,Research Scientist (AI),train
740,Site Reliability Engineer,train
741,Platform Engineer,train
742,Technical Project Manager,train
743,React Developer,train
744,Business Intelligence Developer,train
745,UI/UX Designer,train
746,Graphic Designer,train
747,ERP Developer,train
748,IT Manager,train
749,VLSI Engineer,train
750,NLP Engineer,train
751,Kubernetes Engineer,test
752,Computer Hardware Engineer,train
753,iOS/Android Cross Platform Developer,test
754,Embedded Systems Engineer,train
755,Game Developer,train
756,Swift Developer,train
757,Electronics Engineer,train
758,Cloud Data Engineer,train
759,AWS Solutions Architect,test
760,Electrical Engineer,test
761,Research Scientist (AI),train
762,Computer Hardware Engineer,test
763,.NET Developer,train
764,Low Code Developer,train
765,React Developer,train
766,Network Security Engineer,train
767,Flutter Developer,test
768,React Native Developer,train
769,Electrical Engineer,train
770,Site Reliability Engineer (SRE),train
771,Cloud Security Engineer,train
772,Database Administrator,train
773,VLSI Engineer,train
774,Enterprise Architect,train
775,Security Engineer,train
776,AI Engineer,train
777,WordPress Developer,test
778,Big Data Engineer,test
779,Scrum Master,train
780,Electronics Engineer,train
781,Scala Developer,train
782,DevOps Engineer,train
783,GraphQL Developer,train
784,Full Stack Machine Learning Engineer,train
785,Cybersecurity Analyst,test
786,Java Developer,train
787,Data Analyst,test
788,PHP Developer,train
789,Network Engineer,train
790,Ruby Developer,test
791,Full Stack Machine Learning Engineer,train
792,WordPress Developer,train
793,NLP Engineer,train
794,Operations Research Analyst,train
795,Network Security Engineer,test
796,Fullstack Developer,train
797,DevOps Engineer,train
798,.NET Developer,train
799,.NET Developer,train
800,Electronics Engineer,train
801,DevSecOps Engineer,train
802,Ruby Developer,train
803,Site Reliability Engineer (SRE),test
804,Helpdesk Technician,train
805,UI/UX Designer,test
806,AWS Solutions Architect,train
807,Signal Processing Engineer,test
808,Electronics Engineer,train
809,Scrum Master,train
810,Big Data Engineer,train
811,QA Engineer,test
812,Robotics Engineer,train
813,Computer and Information Research Scientist,test
814,Research Scientist (AI),train
815,AI Safety Engineer,test
816,UI/UX Designer,train
817,React Developer,train
818,AWS Solutions Architect,test
819,Android Developer,train
820,Robotics Engineer,test
821,Product Manager,train
822,Cloud Security Engineer,train
823,Systems Administrator,train
824,Java Developer,train
825,Blockchain Developer,train
826,Cybersecurity Analyst,train
827,UI/UX Designer,train
828,Digital Marketing Tech,train
829,Research Scientist (AI),train
830,DevSecOps Engineer,train
831,Rust Developer,train
832,Business Analyst,test
833,Robotics Engineer,train
834,AI Engineer,train
835,Computer Vision Engineer,test
836,Robotics Engineer,train
837,Site Reliability Engineer (SRE),train
838,IT Manager,train
839,.NET Developer,train
840,Low Code Developer,train
841,IoT Engineer,test
842,Operations Research Analyst,train
843,Database Administrator,train
844,Scala Developer,train
845,Rust Developer,test
846,Python Developer,train
847,Go Developer,test
848,VLSI Engineer,train
849,MLOps Engineer,train
850,Firmware Engineer,train
851,IT Support Specialist,train
852,Network Security Engineer,train
853,Fullstack Developer,train
854,Android Developer,test
855,ERP Developer,train
856,MLOps Engineer,train
857,Data Governance Analyst,train
858,Android Developer,train
859,Embedded Systems Engineer,test
860,Salesforce Developer,train
861,Scrum Master,train
862,Kubernetes Engineer,test
863,Low Code Developer,train
864,COBOL Developer,train
865,Cloud Engineer,train
866,Graphic Designer,train
867,Low Code Developer,train
868,Product Manager,test
869,CTO,train
870,Graphic Designer,train
871,QA Engineer,test
872,Flutter Developer,train
873,Computer and Information Research Scientist,train
874,iOS/Android Cross Platform Developer,train
875,Big Data Engineer,train
876,GraphQL Developer,train
877,Frontend Developer,train
878,Swift Developer,train
879,Fullstack Developer,test
880,Signal Processing Engineer,train
881,Python Developer,train
882,iOS/Android Cross Platform Developer,train
883,ERP Developer,train
884,Business Analyst,train
885,Data Engineer,train
886,Application Security Engineer,test
887,iOS/Android Cross Platform Developer,train
888,NLP Engineer,test
889,ERP Developer,test
890,Business Analyst,test
891,Go Developer,test
892,IoT Engineer,train
893,iOS Developer,train
894,Kubernetes Engineer,train
895,MLOps Engineer,train
896,Android Developer,train
897,Python Developer,test
898,MLOps Engineer,train
899,Research Scientist (AI),train
900,Signal Processing Engineer,train
901,IT Support Specialist,train
902,Backend Developer,train
903,WordPress Developer,train
904,Full Stack Machine Learning Engineer,train
905,Robotics Engineer,train
906,Solutions Engineer,train
907,iOS Developer,train
908,Platform Engineer,train
909,WordPress Developer,train
910,Site Reliability Engineer (SRE),train
911,Kubernetes Engineer,train
912,Network Security Engineer,train
913,CTO,train
914,COBOL Developer,train
915,Backend Developer,test
916,Site Reliability Engineer,train
917,.NET Developer,train
918,Go Developer,train
919,IT Support Specialist,train
920,Site Reliability Engineer,train
921,Swift Developer,train
922,Electrical Engineer,train
923,Quantitative Analyst,train
924,Python Developer,train
925,IoT Engineer,train
926,PHP Developer,train
927,Cloud Security Engineer,train
928,Operations Research Analyst,test
929,AR/VR Developer,test
930,Business Analyst,train
931,Data Scientist,train
932,Backend Developer,test
933,CTO,test
934,Ruby Developer,train
935,Research Scientist (AI),train
936,Embedded Systems Engineer,train
937,Computer and Information Research Scientist,train
938,Game Developer,train
939,Graphic Designer,train
940,Frontend Developer,train
941,Data Analyst,test
942,Computer and Information Research Scientist,train
943,SOC Analyst,test
944,IT Auditor,test
945,Rust Developer,train
946,Quantitative Analyst,train
947,Technical Project Manager,train
948,Computer and Information Research Scientist,train
949,Digital Marketing Tech,train
950,Rust Developer,train
951,QA Engineer,test
952,AI Safety Engineer,train
953,Salesforce Developer,test
954,Data Engineer,train
955,Salesforce Developer,test
956,Prompt Engineer,train
957,Data Analyst,test
958,Business Analyst,train
959,Network Engineer,test
960,Robotics Engineer,test
961,DevOps Engineer,test
962,Network Engineer,train
963,Operations Research Analyst,train
964,Enterprise Architect,train
965,Technical Writer,train
966,Fullstack Developer,train
967,PHP Developer,test
968,COBOL Developer,train
969,Cloud Data Engineer,test
970,Electrical Engineer,test
971,IoT Engineer,train
972,CTO,train
973,Data Governance Analyst,test
974,Technical Project Manager,train
975,Flutter Developer,train
976,Cybersecurity Analyst,test
977,Computer and Information Research Scientist,test
978,.NET Developer,test
979,Enterprise Architect,test
980,Ruby Developer,train
981,Kubernetes Engineer,train
982,AWS Solutions Architect,train
983,Data Analyst,train
984,Product Manager,train
985,Solutions Engineer,train
986,DevSecOps Engineer,test
987,Product Designer,train
988,Data Scientist,test
989,ERP Developer,test
990,MLOps Engineer,train
991,React Developer,train
992,UI/UX Designer,test
993,Ruby Developer,train
994,Quantitative Analyst,train
995,Fintech Developer,train
996,Cybersecurity Analyst,train
997,Business Intelligence Developer,train
998,PHP Developer,train
999,WordPress Developer,test
1000,DevSecOps Engineer,test
1001,DevOps Engineer,train
1002,IT Manager,train
1003,Operations Research Analyst,train
1004,IT Support Specialist,train
1005,Graphic Designer,train
1006,Quantitative Analyst,train
1007,Embedded Systems Engineer,train
1008,WordPress Developer,train
1009,Computer Vision Engineer,train
1010,Site Reliability Engineer,train
1011,UI/UX Designer,train
1012,R Developer,train
1013,IT Support Specialist,train
1014,Frontend Developer,train
1015,Fullstack Developer,train
1016,VLSI Engineer,train
1017,Business Analyst,train
1018,Kubernetes Engineer,test
1019,Security Engineer,test
1020,Digital Marketing Tech,train
1021,CTO,train
1022,Java Developer,test
1023,Cloud Data Engineer,test
1024,IoT Developer,train
1025,Business Intelligence Developer,train
1026,Swift Developer,train
1027,Fullstack Developer,train
1028,SEO Specialist,train
1029,Electronics Engineer,test
1030,Blockchain Developer,train
1031,Operations Research Analyst,train
1032,Research Scientist (AI),train
1033,Product Manager,test
1034,Prompt Engineer,train
1035,Machine Learning Engineer,train
1036,Product Designer,train
1037,Blockchain Developer,train
1038,Computer Hardware Engineer,train
1039,Fullstack Developer,test
1040,Business Analyst,train
1041,WordPress Developer,train
1042,Firmware Engineer,train
1043,AWS Solutions Architect,train
1044,Robotics Engineer,test
1045,Low Code Developer,test
1046,iOS Developer,train
1047,Fullstack Developer,train
1048,IoT Developer,train
1049,Low Code Developer,train
1050,Automation Engineer,train
1051,NLP Engineer,test
1052,Big Data Engineer,train
1053,Data Engineer,train
1054,IT Manager,train
1055,Swift Developer,train
1056,Low Code Developer,train
1057,Firmware Engineer,train
1058,Rust Developer,test
1059,React Developer,train
1060,Firmware Engineer,test
1061,Android Developer,test
1062,IT Support Specialist,test
1063,COBOL Developer,train
1064,Fintech Developer,train
1065,Site Reliability Engineer (SRE),train
1066,Scala Developer,train
1067,SEO Specialist,train
1068,Application Security Engineer,train
1069,Product Manager,test
1070,Embedded Systems Engineer,train
1071,Data Governance Analyst,train
1072,CTO,train
1073,R Developer,train
1074,Embedded Systems Engineer,train
1075,Data Analyst,train
1076,Computer Hardware Engineer,test
1077,Network Engineer,train
1078,Solutions Engineer,train
1079,Product Designer,train
1080,ERP Developer,test
1081,IoT Engineer,train
1082,Backend Developer,train
1083,Security Engineer,train
1084,Penetration Tester,test
1085,IT Manager,train
1086,Robotics Engineer,train
1087,Systems Administrator,train
1088,NLP Engineer,train
1089,R Developer,train
1090,IoT Developer,train
1091,Ruby Developer,train
1092,PHP Developer,test
1093,DevSecOps Engineer,train
1094,Penetration Tester,train
1095,MLOps Engineer,train
1096,Database Administrator,train
1097,Android Developer,test
1098,Application Security Engineer,train
1099,React Native Developer,train
