Profile_ID,Career,Skills,Education,Experience,Job_Description
Biochemists and Biophysicists_16,Biochemists and Biophysicists,"Analysis and building software, AutoQuant AutoDeblur, Crystallography software, Carrier-mediated transport software, 3D graphics software, Accelrys FELIX, Accelrys Insight II, Dassault Systemes Abaqus, Chang Bioscience ToolKit, Docking and ligand binding software, Electronic lab notebook software, ChemInnovation Software Chem 4-D, Crystallography & NMR System (CNS), Adobe Photoshop, Accelrys Cerius2, Basic Local Alignment Search Tool BLAST, Chemistry at Harvard Molecular Mechanics CHARMm, Elsevier MDL ISIS/Draw, Assisted model building with energy refinement AMBER, Accelrys QAUNTA",8.41,9.7,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms."
"Locker Room, Coatroom, and Dressing Room Attendants_12","Locker Room, Coatroom, and Dressing Room Attendants","Microsoft Office software, Microsoft Excel, SportSoft Equipment Manager, IntelliTrack DMS Check In-Out, Inventory tracking software",8.13,8.3,"Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms."
Glaziers_5,Glaziers,"Microsoft Windows, BidMaster, Microsoft Office software, Work order software, D-CALC FACADE 4000, American Glazing Software AGS WindowPricer, Microsoft Excel",8.22,9.7,"Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops."
"Child, Family, and School Social Workers_11","Child, Family, and School Social Workers","Web browser software, EasyCBM, Microsoft Office software, Microsoft Word, Microsoft PowerPoint, Student information systems SIS software, Microsoft Outlook, Microsoft Excel",8.41,9.1,"Provide social services and assistance to improve the social and psychological functioning of children and their families and to maximize the family well-being and the academic functioning of children. May assist parents, arrange adoptions, and find foster homes for abandoned or abused children. In schools, they address such problems as teenage pregnancy, misbehavior, and truancy. May also advise teachers."
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners_13","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Microsoft Office software, Squeegee, Eko, Microsoft Outlook",8.24,9.0,"Keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. Duties may include tending furnace and boiler, performing routine maintenance activities, notifying management of need for repairs, and cleaning snow or debris from sidewalk."
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians_2","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Computer aided dispatch software, Mapping software, Microsoft Word, Microsoft Excel",8.21,8.6,"Drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons. Assist in lifting patients."
Petroleum Engineers_11,Petroleum Engineers,"Autodesk AutoCAD, C#, C++, Computer Modelling Group CMG STARS, Dassault Systemes CATIA, DFA Capital Management GEMS, Eclipse IDE, eProduction Solutions PanSystem, Finite element analysis FEA software, GeoGraphix ARIES Portfolio, Google Analytics, IBM Notes, IHS Petra, IHS QUE$TOR, Landmark Graphics TOW/cs, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook",8.43,11.8,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.
Validation Engineers_1,Validation Engineers,"Apache Tomcat, Amazon Elastic Compute Cloud EC2, C, Amazon Web Services AWS CloudFormation, Apache HTTP Server, Amazon DynamoDB, Apache Maven, Apache Cassandra, Ansible software, Apache Subversion SVN, Bash, Apache Groovy, Apache Ant",8.33,9.9,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements."
"Coin, Vending, and Amusement Machine Servicers and Repairers_19","Coin, Vending, and Amusement Machine Servicers and Repairers","Inventory tracking software, Microsoft Outlook, Web browser software, Microsoft Excel, Email software, Microsoft Word",8.51,7.6,"Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines."
Costume Attendants_12,Costume Attendants,"Web browser software, Garment tracking software, Microsoft Word, Database software",8.4,10.8,"Select, fit, and take care of costumes for cast members, and aid entertainers. May assist with multiple costume changes during performances."
First-Line Supervisors of Gambling Services Workers_9,First-Line Supervisors of Gambling Services Workers,"Microsoft Project, Corel WordPerfect Office Suite, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Access, Microsoft Word",8.52,9.6,"Directly supervise and coordinate activities of workers in assigned gambling areas. May circulate among tables, observe operations, and ensure that stations and games are covered for each shift. May verify and pay off jackpots. May reset slot machines after payoffs and make repairs or adjustments to slot machines or recommend removal of slot machines for repair. May plan and organize activities and services for guests in hotels/casinos."
Structural Iron and Steel Workers_8,Structural Iron and Steel Workers,"Turtle Creek Software Goldenseal, Inventory tracking software, Microsoft Outlook, Project scheduling software, Cost estimating software",8.43,10.5,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings."
Tire Repairers and Changers_13,Tire Repairers and Changers,"Microsoft Excel, Recordkeeping software, Project estimation software",8.25,10.1,Repair and replace tires.
Precision Agriculture Technicians_2,Precision Agriculture Technicians,"Ag Leader Technology SMS Advanced, AGCO GTA Software Suite, ESRI ArcGIS software, ESRI ArcPad, ESRI ArcView, Farm Works Site Pro, GeoAgro GIS, Geographic information system GIS systems, Global positioning system GPS software, John Deere Apex Farm Management, MapShots EASi Suite, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Novariant AutoFarm AF Viewer, SST Development Group SSToolbox",8.19,9.4,"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather."
"Dentists, General_19","Dentists, General","DSN Software Dental-Exec, Dental charting software, Dental intra-oral imaging software, DSN Software Oral Surgery-Exec, eClinicalWorks EHR software, AltaPoint Data Systems AltaPoint Dental, Henry Schein Dentrix, DentiMax, Dental digital radiology software, Henry Schein DentalVision Professional, Data Team DDS, Dental clinical records software, ABELSoft ABELDent, Henry Schein Easy Dental, EZ 2000, DSN Software Perio-Exec",8.31,10.6,"Examine, diagnose, and treat diseases, injuries, and malformations of teeth and gums. May treat diseases of nerve, pulp, and other dental tissues affecting oral hygiene and retention of teeth. May fit dental appliances or provide preventive care."
Computer and Information Research Scientists_6,Computer and Information Research Scientists,"Amazon Web Services AWS SageMaker, Amazon Elastic Compute Cloud EC2, Apache Hive, Apache Kafka, Apache Flume, Apache Cassandra, Amazon Web Services AWS software, Algorithmic software, Ada, Apache HTTP Server, Apache Solr, 3D graphics software, Apache Airflow, Ansible software, Apache Hadoop, Amazon Web Services AWS CloudFormation, Apache Pig, Advanced numerical software, Amazon DynamoDB, Amazon Redshift",8.27,10.1,"Conduct research into fundamental computer and information science as theorists, designers, or inventors. Develop solutions to problems in the field of computer hardware and software."
General and Operations Managers_20,General and Operations Managers,"Act!, ActionWare, Adobe Acrobat, Adobe Creative Cloud software, Adobe Photoshop, ADP Workforce Now, Airtable, Amazon Web Services AWS software, AMG Teleran SalesInSync, Apache Hadoop, Apple Final Cut Pro, Apple Keynote, Apple macOS, Atlassian Confluence, Atlassian JIRA, Autodesk AutoCAD, Avidian Technologies Prophet, Blackbaud The Raiser's Edge, Blackboard software, Citrix cloud computing software",8.41,10.6,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors."
Allergists and Immunologists_6,Allergists and Immunologists,"Allscripts PM, athenahealth athenaCollector, Automatic Data Processing AdvancedMD EHR, Benchmark Systems Benchmark Clinical EHR, Bizmatics PrognoCIS EMR, CareCloud Central, Cerner PowerWorks Practice Management, Crowell Systems Medformix, eClinicalWorks EHR software, Electronic Medical Records and Electronic Health Records Software IMS for Allergists, Email software, Epic Practice Management, FlowJo, GalacTek ECLIPSE, GE Healthcare Centricity Practice Solution, GraphPad Software GraphPad Prism, Greenway Medical Technologies PrimeSUITE, HealthFusion MediTouch, IOS Health Systems Medios EHR, Kareo Practice Management",8.2,5.0,"Diagnose, treat, and help prevent allergic diseases and disease processes affecting the immune system."
Insurance Claims and Policy Processing Clerks_17,Insurance Claims and Policy Processing Clerks,"GroupMe, IBM Check Processing Control System CPSC, Automated information system software, Microsoft Access, Microsoft Internet Explorer, Microsoft Office software, Alpha Software Alpha Five, Database software, Account management software, Healthcare common procedure coding system HCPCS, Insurance rating software, Billing software, Medical condition coding software, IBM Lotus Notes, Microsoft Outlook, InSystems Calligo Enterprise, Medical procedure coding software, Claim processing system software, MicroFocus GroupWise, Microsoft Excel",8.33,10.7,"Process new insurance policies, modifications to existing policies, and claims forms. Obtain information from policyholders to verify the accuracy and completeness of information on claims forms, applications and related documents, and company records. Update existing policies and company records to reflect changes requested by policyholders and insurance company representatives."
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic_16","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","Microsoft Outlook, Microsoft Word, SAP software, Microsoft Excel, Microsoft Office software",8.28,7.9,"Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat treat metal or plastic objects."
Electromechanical Equipment Assemblers_8,Electromechanical Equipment Assemblers,"Autodesk AutoCAD, Microsoft Word, Blueprint display software, Microsoft Office software, Timekeeping software",7.95,9.0,"Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances."
Correctional Officers and Jailers_11,Correctional Officers and Jailers,"Facebook, 3M Electronic Monitoring, Microsoft Outlook, Adobe Acrobat, Microsoft Word, Guardian RFID, Microsoft Office software",8.19,8.6,"Guard inmates in penal or rehabilitative institutions in accordance with established regulations and procedures. May guard prisoners in transit between jail, courtroom, prison, or other point. Includes deputy sheriffs and police who spend the majority of their time guarding prisoners in correctional institutions."
"Architecture Teachers, Postsecondary_16","Architecture Teachers, Postsecondary","Adobe Acrobat, DOC Cop, Adobe Creative Cloud software, Autodesk Ecotect Analysis, Collaborative editing software, Desire2Learn LMS software, Adobe Illustrator, Autodesk Revit, Adobe InDesign, Adobe Photoshop, Course management system software, Autodesk 3ds Max, Email software, Autodesk Mudbox, Blackboard Learn, Autodesk 3D Studio Design, Computer aided design and drafting CADD software",8.17,7.6,"Teach courses in architecture and architectural design, such as architectural environmental design, interior architecture/design, and landscape architecture. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
"Art, Drama, and Music Teachers, Postsecondary_15","Art, Drama, and Music Teachers, Postsecondary","Blackboard Learn, DOC Cop, Apple Logic Pro, Adobe After Effects, Adobe Photoshop, Autodesk MotionBuilder, Adobe Creative Cloud software, Collaborative editing software, Adobe Dreamweaver, Adobe InDesign, Blackboard software, Adobe Acrobat, Cascading style sheets CSS, Apple DVD Studio Pro, Autodesk Maya, Adobe Illustrator",8.1,9.2,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
Telemarketers_9,Telemarketers,"Zoom, Remote access call center software, Salesforce software, Automatic call distribution software, Microsoft Word, Database Systems Corp Telemation, Microsoft PowerPoint, Softphone software, Microsoft Outlook, Microsoft Office software, Microsoft Dynamics",8.32,7.0,Solicit donations or orders for goods or services over the telephone.
Counter and Rental Clerks_19,Counter and Rental Clerks,"Inventory management systems, Oracle Database, Microsoft PowerPoint, Microsoft Word, Database software, Microsoft Outlook, Microsoft Office software",8.44,8.1,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute cost, and accept payment."
Engine and Other Machine Assemblers_9,Engine and Other Machine Assemblers,"Microsoft Office software, Dassault Systemes SolidWorks, SAP software, Microsoft Word",8.53,8.8,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing."
Automotive Engineering Technicians_9,Automotive Engineering Technicians,"A&D Technology iTest, Autodesk AutoCAD Mechanical, Autodesk Inventor, Data acquisition software, IBM Notes, Microsoft Excel, Microsoft Office software, Microsoft Word, National Instruments LabVIEW, PTC Creo Parametric, SAP software",8.11,11.3,"Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency."
Photographic Process Workers and Processing Machine Operators_3,Photographic Process Workers and Processing Machine Operators,"Microsoft Excel, Microsoft Access, Microsoft Outlook, Docker, Adobe InDesign, HeliconSoft Helicon Focus, MongoDB, Git, Cascading style sheets CSS, Microsoft Office software, Adobe Photoshop, Camera Bits Photo Mechanic, Microsoft Word, MySQL, Adobe Creative Cloud software, Microsoft PowerPoint",8.42,6.9,Perform work involved in developing and processing photographic images from film or digital media. May perform precision tasks such as editing photographic negatives and prints.
Technical Writers_12,Technical Writers,"Autodesk AutoCAD, Adobe Acrobat, Corel Ventura, Apple Final Cut Pro, Blink, Adobe FrameMaker, Adobe RoboHelp, Adobe Illustrator, Corel Paint Shop Pro, Adobe Creative Cloud software, Author-it, Adobe Photoshop, Darwin information typing architecture DITA, Adobe InDesign, Atlassian JIRA, Cascading style sheets CSS, Adobe Captivate, Adobe Dreamweaver, Corel CorelDraw Graphics Suite, Atlassian Confluence",8.52,8.6,"Write technical materials, such as equipment manuals, appendices, or operating and maintenance instructions. May assist in layout work."
Chiropractors_9,Chiropractors,"ACOM Solutions RAPID EMR, Acrendo A.I.med, Addison Health Systems WritePad EHR, Advantage Software Chiropractic Advantage, Billing software, BioEx Systems Exercise Pro, ChiroSoft, ChiroTouch EHR, DataCom Software Business Products M.I.S. Clinic, DocumentPlus, E-Z BIS Office, Electro Meridian Imaging EMI, Electronic medical record EMR software, EZClaim medical billing software, EZnotes, ForteEMR, GalacTek ECLIPSE, InPhase Technologies Group InPhase Concept, Life Systems Software ChiroSuite EHR, MicroFour PracticeStudio.NET EMR",8.15,8.2,"Assess, treat, and care for patients by manipulation of spine and musculoskeletal system. May provide spinal adjustment or address sacral or pelvic misalignment."
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders_12","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","Microsoft Excel, Email software",8.1,10.0,"Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment."
"Cutters and Trimmers, Hand_12","Cutters and Trimmers, Hand","Microsoft Excel, Microsoft Outlook, Microsoft Word",8.31,8.5,"Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber."
Nuclear Engineers_14,Nuclear Engineers,"Microsoft Access, FOLLOW code, Linux, Microsoft Word, BERMUDA nuclear transport computer codes, Graphics software, Microsoft PowerPoint, C++, ANISN dose assessment computer code, Microsoft Office software, Maplesoft Maple, ANSYS simulation software, INCORE code, MERCURE dose assessment computer codes, Formula translation/translator FORTRAN, Microsoft Excel, Mathematical simulation software",7.82,10.0,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal."
Nurse Anesthetists_9,Nurse Anesthetists,"Epic Systems, eClinicalWorks EHR software, Allscripts Professional EHR, Patient management software, GE Healthcare Centricity EMR, AetherPalm InfusiCalc, Skyscape AnesthesiaDrugs, e-MDs software, NextGen Healthcare Information Systems EMR, Amkai AmkaiCharts, Medscribbler Enterprise, Cerner Millennium, SOAPware EMR, Microsoft Word, EDImis Anesthesia Manager, ChartWare EMR",8.29,8.8,"Administer anesthesia, monitor patient's vital signs, and oversee patient recovery from anesthesia. May assist anesthesiologists, surgeons, other physicians, or dentists. Must be registered nurses who have specialized graduate education."
Crane and Tower Operators_17,Crane and Tower Operators,"Inventory tracking software, Crane operation control software, Microsoft Excel, Microsoft Outlook",8.01,10.2,"Operate mechanical boom and cable or tower and cable equipment to lift and move materials, machines, or products in many directions."
First-Line Supervisors of Security Workers_9,First-Line Supervisors of Security Workers,"Microsoft PowerPoint, Microsoft Office software, Microsoft Word, Microsoft Excel, Employee scheduling software, Time and attendance software, Oracle software",8.22,7.5,Directly supervise and coordinate activities of security workers and security guards.
Electrical Engineers_1,Electrical Engineers,"Altera hardware description language AHDL, Autodesk Revit, APLAC, C++, ATD protocol, Ada, Autodesk AutoCAD Civil 3D, Availability prediction modeling software, AVEVA InTouch HMI, Bentley MicroStation, C, Automated material handling software, Advanced boolean expression language ABEL, Bash, Autodesk AutoCAD, Chip design software",8.29,10.0,"Research, design, develop, test, or supervise the manufacturing and installation of electrical equipment, components, or systems for commercial, industrial, military, or scientific use."
Tour Guides and Escorts_14,Tour Guides and Escorts,"RBS GoTour Online, Microsoft Excel, Microsoft Office software, Softrip Travel Software System, Microsoft Internet Explorer, Global positioning system GPS software, Pear Deck, Adobe Photoshop, SmugMug Flickr, TourTech Systems TourTools, Apple Safari, Padlet, Centaur Systems Centaur Travel Business Management System TBMS",8.51,11.3,"Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries."
